fecha,categoria,descripcion,monto,metodo_pago
2026-02-02,Transporte,Uber,12.34,Transferencia
23/03/2026,transporte,Transporte publico,14.08,Efectivo
2026-03-26,otros,Varios,86.17,Transferencia
18/02/2026,Vivienda,Agua,321.59,Tarjeta
2026-02-02,Comida,Restaurante,18.47,Transferencia
09/03/2026,salud,Gimnasio,$30.88,Transferencia
2026-01-19,vivienda,Internet,$309.97,Efectivo
2026-02-20,Transporte,Transporte publico,25.47,Tarjeta
2026-03-08,salud,Consulta medica,55.52,Efectivo
2026-01-16,ocio,Cine,9.4,Tarjeta
18/03/2026,otros,Varios,48.89,Tarjeta
2026-03-20,Vivienda,Luz,286.61,Efectivo
04/01/2026,COMIDA,Restaurante,45.83,Transferencia
2026-01-18,Educacion,Matricula,32.37,Tarjeta
19/01/2026,comida,Restaurante,28.21,Transferencia
2026-02-25,Vivienda,Internet,278.9,Efectivo
2026-02-21,Transporte,Taxi,35.13,Efectivo
20/02/2026,Ocio,Streaming,58.49,Transferencia
25/02/2026,Comida,Supermercado,57.65,Transferencia
2026-01-09,COMIDA,Delivery,$14.82,Transferencia
2026-01-22,Transporte ,Gasolina,$12.88,Tarjeta
27/02/2026, Ocio,Streaming,$13.9,Transferencia
2026-01-08,otros,Varios,87.32,Efectivo
2026-03-04,Educacion,Curso online,154.73,Tarjeta
2026-03-09,Transporte ,Transporte publico,26.1,Efectivo
